,Locked mode shot #,RF beginning time [s],RF ending time [s],RF power [MW],THACO run on He-like?,THACO run on H-like?,"Density [1e19 m^-3] (t_beg, t_end)","Electron temp [keV] (t_beg, t_end)",Plasma current [MA],Magnetic field [T],H/D ratio,Anything interesting?,Max W_MHD (kJ),T_E,Z-Int Initial,Z-Int Final,Δ Brightness
11007270,,,,,,,,,,,,,,,,,
24,,0.5,1.5,Jumping to 2.4 from 1,No,No,"11-14 (0.5, 1.5)","1.5-2.5 (0.5, 1.5)",0.8,5.4,0.25,Low pumpout. Returns to same level,39,0.03,2700,1700,0.3703703704
29,,0.5,1.5,0.9 to 2.4 to 2.6 then oscillating to 4.25,No,No,"10-13 (0.5, 1.5)","3 (0.5, 1.5)",0.8,5.4,0.1-0.2,Goes to higher bright after pumpout,69,0.035,2300,1300,0.4347826087
30,,0.5,1.5,1.2 to 3 to 3.2,No,No,"12 (0.7, 1.5)","3 (0.6, 1.5)",0.8,5.4,0.15-0.2,^,67,0.03,2600,1500,0.4230769231
31,,0.5,1.5,1.2 to 3.2 then oscillating,No,No,"10-12 (0.5, 1.5)","2-3 (0.6, 1.5)",0.8,5.4,0.18-0.24,,64,0.035,2750,1500,0.4545454545
32,,0.5,1.5,0.5 then oscillating to 2.5-3,No,No,"11-12 (0.7, 1.5)","2-3 (0.6, 1.5)",0.8,5.4,0.24-0.34,,51,0.03,2850,1600,0.4385964912
,,,,,,,,,,,,,,,,,
11205230,,,,,,,,,,,,,,,,,
16,,0.6,1.45,2 to 1 at 1.25,No,No,"11-12 (0.7, 1.5)",Error,0.8,5.5,0.1-0.18,^ Brightness increases at RF drop,63,0.04,1800,1000,0.4444444444
18,,0.6,1.45,3 to 1 at 1.25,No,No,"10.5-12 (0.7, 1.5)",Error,0.8,5.5,0.2,,66,0.035,2220,1300,0.4144144144
20,,0.6,1.25,1.4,No,No,"11-13 (0.7, 1.7)",Error,0.8,5.5,0.2,,46,0.04,2050,1250,0.3902439024
,,,,,,,,,,,,,,,,,
1120531021,,0.7,1.5,1.2,No,No,"12-14 (0.6, 1.4)","1.5-2 (0, 1.25)",0.8,5.3,0.1-0.2,RF off then on. New pumpout,47,0.035,3600,2000,0.4444444444
,,,,,,,,,,,,,,,,,
*11402120,,,,,,,,,,,,,,,,,
13,,0.7,1.5,Around 0.7 then 0.55,No,No,"14-16 (0.6, 1.5)",Error,0.9,5.4,0.38-0.44,Long timescale,35,0.015,10100,3500,0.6534653465
15,,0.7,1.5,Ramp 0.4 to 1,No,No,"15 (0.6, 1.5)",Error,0.9,5.4,0.4-0.45,^,36,0.02,9450,3800,0.5978835979
21,,0.7,1.5,Ramp 0.9 to 1.3,No,No,"16 (0.8, 1.5)",Error,0.9,5.4,0.45-0.5,Shorter timescale,35,0.019,8000,3700,0.5375
,,,,,,,,,,,,,,,,,
1150522022,,0.6,1.5,Oscillate 0 to 1.5 then 2 to 3.5 at 1.1,No,No,"13 (0.6, 1.5)",Error,0.8,5.5,0.35,Clear response to RF oscillations,48,0.035,17860,2500,0.8600223964
